,obj_from,obj_to,trip_start,location_from,location_to,distance_kms,trip_end,trip_obj,trip_code
23,<scheduling.Location.Location object at 0x000001CE246855E0>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-10 06:30:00,MILDURA,BRISBANE,1287.2396453379931,2019-01-10 08:30:00,<scheduling.Trip.Trip object at 0x000001CE231230A0>,MIL|BRI
24,<scheduling.Location.Location object at 0x000001CE24685280>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-10 18:30:00,NEWCASTLE,MELBOURNE,823.9077196738725,2019-01-10 19:45:00,<scheduling.Trip.Trip object at 0x000001CE23123280>,NEW|MEL
25,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-11 02:00:00,SYDNEY,BRISBANE,699.725356900864,2019-01-11 03:00:00,<scheduling.Trip.Trip object at 0x000001CE23123250>,SYD|BRI
26,<scheduling.Location.Location object at 0x000001CE24685220>,<scheduling.Location.Location object at 0x000001CE220108E0>,2019-01-11 04:30:00,LAUNCESTON,PERTH,2974.2812156895743,2019-01-11 09:00:00,<scheduling.Trip.Trip object at 0x000001CE231232E0>,LAU|PER
27,<scheduling.Location.Location object at 0x000001CE246838E0>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-11 06:00:00,LORD_HOWE_ISLAND,SYDNEY,762.5398029244694,2019-01-11 07:15:00,<scheduling.Trip.Trip object at 0x000001CE23123370>,LOR|SYD
28,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE24683A00>,2019-01-11 10:30:00,SYDNEY,MOREE,474.5181802455217,2019-01-11 11:15:00,<scheduling.Trip.Trip object at 0x000001CE231234C0>,SYD|MOR
29,<scheduling.Location.Location object at 0x000001CE22010280>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-12 05:30:00,CAIRNS,ADELAIDE,2125.9257052725593,2019-01-12 08:45:00,<scheduling.Trip.Trip object at 0x000001CE23123550>,CAI|ADE
30,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-12 09:00:00,SYDNEY,BRISBANE,699.725356900864,2019-01-12 10:00:00,<scheduling.Trip.Trip object at 0x000001CE23123520>,SYD|BRI
31,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-12 09:30:00,CANBERRA,MELBOURNE,437.4806470107659,2019-01-12 10:15:00,<scheduling.Trip.Trip object at 0x000001CE23123670>,CAN|MEL
32,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE246857C0>,2019-01-13 00:00:00,ADELAIDE,PALM_ISLAND,1962.25053085149,2019-01-13 03:00:00,<scheduling.Trip.Trip object at 0x000001CE23123640>,ADE|PAL
33,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE24683340>,2019-01-13 00:00:00,SYDNEY,ALBANY,3075.810154776234,2019-01-13 04:45:00,<scheduling.Trip.Trip object at 0x000001CE231236D0>,SYD|ALB
34,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-13 19:00:00,BRISBANE,MELBOURNE,1376.6543043929948,2019-01-13 21:00:00,<scheduling.Trip.Trip object at 0x000001CE23123760>,BRI|MEL
35,<scheduling.Location.Location object at 0x000001CE24685100>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-14 06:00:00,TOWNSVILLE,ADELAIDE,1919.0431929584638,2019-01-14 09:00:00,<scheduling.Trip.Trip object at 0x000001CE231237F0>,TOW|ADE
36,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE246855E0>,2019-01-14 07:30:00,MELBOURNE,MILDURA,478.55149749818605,2019-01-14 08:15:00,<scheduling.Trip.Trip object at 0x000001CE23123940>,MEL|MIL
37,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-14 13:30:00,CANBERRA,SYDNEY,310.0856181408882,2019-01-14 14:00:00,<scheduling.Trip.Trip object at 0x000001CE23123910>,CAN|SYD
38,<scheduling.Location.Location object at 0x000001CE24685B20>,<scheduling.Location.Location object at 0x000001CE24685880>,2019-01-14 18:30:00,PORT_HEDLAND,ARMIDALE,3488.2777112521176,2019-01-14 23:45:00,<scheduling.Trip.Trip object at 0x000001CE23123A60>,POR|ARM
39,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-14 21:30:00,SYDNEY,MELBOURNE,742.9951738623648,2019-01-14 22:45:00,<scheduling.Trip.Trip object at 0x000001CE23123A30>,SYD|MEL
40,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE24685220>,2019-01-15 04:00:00,SYDNEY,LAUNCESTON,954.654377966079,2019-01-15 05:30:00,<scheduling.Trip.Trip object at 0x000001CE23123B80>,SYD|LAU
41,<scheduling.Location.Location object at 0x000001CE24685460>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-15 05:30:00,ALBURY,MELBOURNE,264.37797608892765,2019-01-15 06:00:00,<scheduling.Trip.Trip object at 0x000001CE23123C10>,ALB|MEL
42,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE24685520>,2019-01-15 09:00:00,SYDNEY,WAGGA_WAGGA,395.5853707620945,2019-01-15 09:30:00,<scheduling.Trip.Trip object at 0x000001CE23123E20>,SYD|WAG
43,<scheduling.Location.Location object at 0x000001CE220108E0>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-15 12:00:00,PERTH,SYDNEY,3310.5695347659,2019-01-15 17:00:00,<scheduling.Trip.Trip object at 0x000001CE23123FA0>,PER|SYD
44,<scheduling.Location.Location object at 0x000001CE24683280>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-15 17:00:00,MORANBAH,SYDNEY,1314.5210215639243,2019-01-15 19:00:00,<scheduling.Trip.Trip object at 0x000001CE23123C70>,MOR|SYD
45,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-15 22:00:00,SYDNEY,MELBOURNE,742.9951738623648,2019-01-15 23:15:00,<scheduling.Trip.Trip object at 0x000001CE231210A0>,SYD|MEL
46,<scheduling.Location.Location object at 0x000001CE24683520>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-16 00:00:00,OLYMPIC_DAM,SYDNEY,1405.897736717819,2019-01-16 02:15:00,<scheduling.Trip.Trip object at 0x000001CE23121040>,OLY|SYD
47,<scheduling.Location.Location object at 0x000001CE24683460>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-16 08:00:00,PARKES,BRISBANE,780.0872232729955,2019-01-16 09:15:00,<scheduling.Trip.Trip object at 0x000001CE23121100>,PAR|BRI
48,<scheduling.Location.Location object at 0x000001CE246852E0>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-16 14:30:00,MACKAY,BRISBANE,797.4057433271204,2019-01-16 15:45:00,<scheduling.Trip.Trip object at 0x000001CE231210D0>,MAC|BRI
49,<scheduling.Location.Location object at 0x000001CE24685280>,<scheduling.Location.Location object at 0x000001CE22010280>,2019-01-16 21:30:00,NEWCASTLE,CAIRNS,1870.5954838243729,2019-01-17 00:30:00,<scheduling.Trip.Trip object at 0x000001CE23121160>,NEW|CAI
50,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE246855E0>,2019-01-17 10:00:00,ADELAIDE,MILDURA,335.6562494550449,2019-01-17 10:30:00,<scheduling.Trip.Trip object at 0x000001CE23121190>,ADE|MIL
51,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE24685280>,2019-01-18 19:30:00,BRISBANE,NEWCASTLE,614.7144597494563,2019-01-18 20:30:00,<scheduling.Trip.Trip object at 0x000001CE23121130>,BRI|NEW
52,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-19 11:00:00,MELBOURNE,BRISBANE,1376.6543043929948,2019-01-19 13:00:00,<scheduling.Trip.Trip object at 0x000001CE231211C0>,MEL|BRI
53,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE246857C0>,2019-01-19 16:30:00,ADELAIDE,PALM_ISLAND,1962.25053085149,2019-01-19 19:30:00,<scheduling.Trip.Trip object at 0x000001CE23121250>,ADE|PAL
54,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE24685B80>,2019-01-20 10:30:00,CANBERRA,HAMILTON_ISLAND,1697.0293249711094,2019-01-20 13:00:00,<scheduling.Trip.Trip object at 0x000001CE231212E0>,CAN|HAM
55,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE24685400>,2019-01-20 13:30:00,MELBOURNE,DUBBO,705.154962235552,2019-01-20 14:30:00,<scheduling.Trip.Trip object at 0x000001CE23121430>,MEL|DUB
56,<scheduling.Location.Location object at 0x000001CE246836A0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-20 16:00:00,LONGREACH,MELBOURNE,1599.0970941177345,2019-01-20 18:30:00,<scheduling.Trip.Trip object at 0x000001CE23121400>,LON|MEL
57,<scheduling.Location.Location object at 0x000001CE22010280>,<scheduling.Location.Location object at 0x000001CE24685700>,2019-01-20 20:30:00,CAIRNS,COFFS_HARBOUR,1665.627029303784,2019-01-20 23:00:00,<scheduling.Trip.Trip object at 0x000001CE23121550>,CAI|COF
58,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-21 14:00:00,CANBERRA,BRISBANE,985.6929465347621,2019-01-21 15:30:00,<scheduling.Trip.Trip object at 0x000001CE231215E0>,CAN|BRI
59,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE24685040>,2019-01-21 17:30:00,SYDNEY,CANBERRA,310.0856181408882,2019-01-21 18:00:00,<scheduling.Trip.Trip object at 0x000001CE23121670>,SYD|CAN
60,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE246830A0>,2019-01-21 22:30:00,BRISBANE,TOOWOOMBA_WELLCAMP,122.54444272642458,2019-01-21 22:45:00,<scheduling.Trip.Trip object at 0x000001CE23121640>,BRI|TOO
61,<scheduling.Location.Location object at 0x000001CE24683700>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-21 23:30:00,COOKTOWN,MELBOURNE,2482.206796308431,2019-01-22 03:15:00,<scheduling.Trip.Trip object at 0x000001CE23121790>,COO|MEL
62,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-22 13:00:00,SYDNEY,ADELAIDE,1186.8780338759996,2019-01-22 14:45:00,<scheduling.Trip.Trip object at 0x000001CE23121760>,SYD|ADE
63,<scheduling.Location.Location object at 0x000001CE246854C0>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-23 05:00:00,PORT_LINCOLN,BRISBANE,1815.801971223005,2019-01-23 07:45:00,<scheduling.Trip.Trip object at 0x000001CE231217F0>,POR|BRI
64,<scheduling.Location.Location object at 0x000001CE24685100>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-23 12:00:00,TOWNSVILLE,MELBOURNE,2067.960987123366,2019-01-23 15:15:00,<scheduling.Trip.Trip object at 0x000001CE23121880>,TOW|MEL
65,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-23 20:30:00,SYDNEY,BRISBANE,699.725356900864,2019-01-23 21:30:00,<scheduling.Trip.Trip object at 0x000001CE23121910>,SYD|BRI
66,<scheduling.Location.Location object at 0x000001CE246850A0>,<scheduling.Location.Location object at 0x000001CE220101C0>,2019-01-24 01:30:00,GOLD_COAST,BRISBANE,69.80720301457482,2019-01-24 01:30:00,<scheduling.Trip.Trip object at 0x000001CE23121A60>,GOL|BRI
67,<scheduling.Location.Location object at 0x000001CE22010280>,<scheduling.Location.Location object at 0x000001CE24683D60>,2019-01-24 02:00:00,CAIRNS,AURUKUN,583.6887441387818,2019-01-24 03:00:00,<scheduling.Trip.Trip object at 0x000001CE23121A30>,CAI|AUR
68,<scheduling.Location.Location object at 0x000001CE246834C0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-24 09:00:00,KUNUNURRA,MELBOURNE,2921.5640323130647,2019-01-24 13:30:00,<scheduling.Trip.Trip object at 0x000001CE23121AC0>,KUN|MEL
69,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE220108E0>,2019-01-24 09:30:00,MELBOURNE,PERTH,2727.6686418350764,2019-01-24 13:45:00,<scheduling.Trip.Trip object at 0x000001CE23121B50>,MEL|PER
70,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-25 00:30:00,MELBOURNE,SYDNEY,742.9951738623648,2019-01-25 01:45:00,<scheduling.Trip.Trip object at 0x000001CE23121E20>,MEL|SYD
71,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-25 12:30:00,SYDNEY,ADELAIDE,1186.8780338759996,2019-01-25 14:15:00,<scheduling.Trip.Trip object at 0x000001CE23121FA0>,SYD|ADE
72,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-25 15:00:00,MELBOURNE,SYDNEY,742.9951738623648,2019-01-25 16:15:00,<scheduling.Trip.Trip object at 0x000001CE23121D30>,MEL|SYD
73,<scheduling.Location.Location object at 0x000001CE246834C0>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-25 15:30:00,KUNUNURRA,MELBOURNE,2921.5640323130647,2019-01-25 20:00:00,<scheduling.Trip.Trip object at 0x000001CE23120130>,KUN|MEL
74,<scheduling.Location.Location object at 0x000001CE220108E0>,<scheduling.Location.Location object at 0x000001CE24685040>,2019-01-26 07:30:00,PERTH,CANBERRA,3086.521011436385,2019-01-26 12:15:00,<scheduling.Trip.Trip object at 0x000001CE23120070>,PER|CAN
75,<scheduling.Location.Location object at 0x000001CE246850A0>,<scheduling.Location.Location object at 0x000001CE24685220>,2019-01-27 02:30:00,GOLD_COAST,LAUNCESTON,1608.678496256987,2019-01-27 05:00:00,<scheduling.Trip.Trip object at 0x000001CE231200D0>,GOL|LAU
76,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE24685700>,2019-01-27 11:30:00,ADELAIDE,COFFS_HARBOUR,1459.7712048107182,2019-01-27 13:45:00,<scheduling.Trip.Trip object at 0x000001CE23120040>,ADE|COF
77,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-27 12:30:00,ADELAIDE,SYDNEY,1186.8780338759996,2019-01-27 14:15:00,<scheduling.Trip.Trip object at 0x000001CE23120100>,ADE|SYD
78,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-27 13:30:00,BRISBANE,ADELAIDE,1609.6533659656043,2019-01-27 16:00:00,<scheduling.Trip.Trip object at 0x000001CE23120190>,BRI|ADE
79,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE246853A0>,2019-01-28 20:30:00,MELBOURNE,SUNSHINE_COAST,1460.85549733137,2019-01-28 22:45:00,<scheduling.Trip.Trip object at 0x000001CE231200A0>,MEL|SUN
80,<scheduling.Location.Location object at 0x000001CE24685A60>,<scheduling.Location.Location object at 0x000001CE24685040>,2019-01-29 09:30:00,MELBOURNE_ESSENDON,CANBERRA,436.7077070446019,2019-01-29 10:15:00,<scheduling.Trip.Trip object at 0x000001CE231201C0>,MEL|CAN
81,<scheduling.Location.Location object at 0x000001CE246834C0>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-01-29 17:30:00,KUNUNURRA,SYDNEY,3008.218000342416,2019-01-29 22:15:00,<scheduling.Trip.Trip object at 0x000001CE23120250>,KUN|SYD
82,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-01-30 05:00:00,MELBOURNE,ADELAIDE,661.9051156831922,2019-01-30 06:00:00,<scheduling.Trip.Trip object at 0x000001CE231202E0>,MEL|ADE
83,<scheduling.Location.Location object at 0x000001CE22010970>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-01-31 13:30:00,ADELAIDE,MELBOURNE,661.9051156831922,2019-01-31 14:30:00,<scheduling.Trip.Trip object at 0x000001CE23120370>,ADE|MEL
84,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE24685100>,2019-01-31 17:00:00,SYDNEY,TOWNSVILLE,1651.4869550562294,2019-01-31 19:30:00,<scheduling.Trip.Trip object at 0x000001CE23120400>,SYD|TOW
85,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE246850A0>,2019-02-01 01:30:00,MELBOURNE,GOLD_COAST,1349.0376384970623,2019-02-01 03:30:00,<scheduling.Trip.Trip object at 0x000001CE23120490>,MEL|GOL
86,<scheduling.Location.Location object at 0x000001CE246859A0>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-02-01 01:30:00,GLADSTONE,SYDNEY,1079.2237816731465,2019-02-01 03:15:00,<scheduling.Trip.Trip object at 0x000001CE23120520>,GLA|SYD
87,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE22010970>,2019-02-01 16:00:00,SYDNEY,ADELAIDE,1186.8780338759996,2019-02-01 17:45:00,<scheduling.Trip.Trip object at 0x000001CE231205B0>,SYD|ADE
88,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE24685040>,2019-02-02 00:30:00,BRISBANE,CANBERRA,985.6929465347621,2019-02-02 02:00:00,<scheduling.Trip.Trip object at 0x000001CE23120700>,BRI|CAN
89,<scheduling.Location.Location object at 0x000001CE24685760>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-02-02 10:00:00,KING_ISLAND,MELBOURNE,245.0807860885277,2019-02-02 10:30:00,<scheduling.Trip.Trip object at 0x000001CE23120790>,KIN|MEL
90,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-02-02 16:00:00,SYDNEY,MELBOURNE,742.9951738623648,2019-02-02 17:15:00,<scheduling.Trip.Trip object at 0x000001CE23120760>,SYD|MEL
91,<scheduling.Location.Location object at 0x000001CE220101C0>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-02-03 00:30:00,BRISBANE,SYDNEY,699.725356900864,2019-02-03 01:30:00,<scheduling.Trip.Trip object at 0x000001CE231208B0>,BRI|SYD
92,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-02-03 07:30:00,MELBOURNE,SYDNEY,742.9951738623648,2019-02-03 08:45:00,<scheduling.Trip.Trip object at 0x000001CE231209A0>,MEL|SYD
93,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-02-04 23:30:00,MELBOURNE,SYDNEY,742.9951738623648,2019-02-05 00:45:00,<scheduling.Trip.Trip object at 0x000001CE23120AC0>,MEL|SYD
94,<scheduling.Location.Location object at 0x000001CE24683400>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-02-05 00:30:00,ROMA,SYDNEY,818.311855576556,2019-02-05 01:45:00,<scheduling.Trip.Trip object at 0x000001CE23120C70>,ROM|SYD
95,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE1FE7BE50>,2019-02-05 05:00:00,MELBOURNE,SYDNEY,742.9951738623648,2019-02-05 06:15:00,<scheduling.Trip.Trip object at 0x000001CE23120A30>,MEL|SYD
96,<scheduling.Location.Location object at 0x000001CE246852E0>,<scheduling.Location.Location object at 0x000001CE24685100>,2019-02-05 13:30:00,MACKAY,TOWNSVILLE,329.8940483703845,2019-02-05 14:00:00,<scheduling.Trip.Trip object at 0x000001CE23120CD0>,MAC|TOW
97,<scheduling.Location.Location object at 0x000001CE24685040>,<scheduling.Location.Location object at 0x000001CE22010A90>,2019-02-05 22:30:00,CANBERRA,MELBOURNE,437.4806470107659,2019-02-05 23:15:00,<scheduling.Trip.Trip object at 0x000001CE23120880>,CAN|MEL
98,<scheduling.Location.Location object at 0x000001CE22010A90>,<scheduling.Location.Location object at 0x000001CE24685760>,2019-02-06 17:30:00,MELBOURNE,KING_ISLAND,245.0807860885277,2019-02-06 18:00:00,<scheduling.Trip.Trip object at 0x000001CE23120E50>,MEL|KIN
