,Airport,Year_Ended_December,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Dom_in_Pct,Dom_out_Pct,Dom_moves_per_day,Rank,coords_lat,coords_lon
60,KUNUNURRA,2019,1064,1065,2129,0.0017541401168877202,0.0017569444673571266,5.832876712328767,61.0,-15.7781000137,128.707992554
61,OLYMPIC_DAM,2019,1046,1029,2075,0.0017244648141584167,0.001697554795221111,5.684931506849315,62.0,-30.485000610399997,136.876998901
62,ESPERANCE,2019,963,963,1926,0.0015876286960177393,0.001588673729638416,5.276712328767124,63.0,-33.684399,121.822998
63,FLINDERS_ISLAND,2019,957,957,1914,0.0015777369284413047,0.0015787754509490799,5.243835616438356,64.0,-40.0917015076,147.992996216
64,GOVE,2019,956,955,1911,0.001576088300511899,0.0015754760247193014,5.235616438356164,65.0,-12.269399642899998,136.817993164
65,LONGREACH,2019,1056,850,1906,0.0017409510934524742,0.0014022561476559226,5.221917808219178,66.0,-23.4342002869,144.279998779
66,COOKTOWN,2019,928,929,1857,0.001529926718488538,0.001532583483732179,5.087671232876712,67.0,-15.444700241088867,145.1840057373047
67,GERALDTON,2019,858,856,1714,0.0014145227634301352,0.0014121544263452585,4.695890410958904,68.0,-28.699218,114.911043
68,MANINGRIDA,2019,808,808,1616,0.0013320913669598476,0.001332968196830571,4.427397260273972,69.0,-12.0560998917,134.23399353
69,WEIPA,2019,776,776,1552,0.0012793352732188637,0.0012801773771541128,4.252054794520548,70.0,-12.623900413513184,142.08700561523438
70,WOLLONGONG,2019,622,860,1482,0.0010254465720903778,0.0014187532788048159,4.06027397260274,71.0,-34.42419,150.8822
71,LORD_HOWE_ISLAND,2019,730,730,1460,0.001203498388466199,0.0012042905738692041,4.0,72.0,-31.5382995605,159.07699585
72,CEDUNA,2019,727,727,1454,0.0011985525046779818,0.0011993414345245362,3.9835616438356163,73.0,-32.13059997558594,133.7100067138672
73,CHARLEVILLE,2019,670,670,1340,0.0011045807127018539,0.001105307786975845,3.671232876712329,74.0,-26.4132995605,146.261993408
74,MOREE,2019,643,640,1283,0.0010600677586078985,0.0010558163935291652,3.515068493150685,75.0,-29.498899459799997,149.845001221
75,LEARMONTH,2019,633,633,1266,0.001043581479313841,0.00104426840172494,3.4684931506849317,76.0,-22.235599517799997,114.088996887
76,CARNARVON,2019,622,616,1238,0.0010254465720903778,0.0010162232787718215,3.3917808219178083,77.0,-24.880211,113.67174
77,KOWANYAMA,2019,613,609,1222,0.001010608920725726,0.0010046752869675964,3.347945205479452,78.0,-15.485600471496582,141.75100708007812
78,GROOTE_EYLANDT,2019,672,542,1214,0.0011078779685606654,0.0008941445082700118,3.326027397260274,79.0,-13.975000381500001,136.460006714
79,CLONCURRY,2019,581,623,1204,0.000957852826984742,0.0010277712705760468,3.2986301369863016,80.0,-20.668600082399998,140.503997803
80,PORMPURAAW,2019,549,549,1098,0.0009050967332437579,0.000905692500074237,3.0082191780821916,81.0,-14.896451,141.60908
81,BAMAGA,2019,519,519,1038,0.0008556378953615854,0.0008562011066275575,2.8438356164383563,82.0,-10.9508,142.459
82,MORNINGTON_ISLAND,2019,496,496,992,0.000817719452985253,0.0008182577049851031,2.717808219178082,83.0,-16.662500381469727,139.17799377441406
83,AURUKUN,2019,354,354,708,0.0005836142870096362,0.0005839984426708196,1.9397260273972603,84.0,-13.354067,141.72065
84,LOCKHART_RIVER,2019,339,340,679,0.0005588848680685499,0.000560902459062369,1.8602739726027397,85.0,-12.7869,143.304993
85,MCARTHUR_RIVER_MINE,2019,314,314,628,0.0005176691698334061,0.0005180099180752467,1.7205479452054795,86.0,-16.4424991608,136.083999634
86,NORFOLK,2019,240,239,479,0.00039567070305738047,0.00039428143445854766,1.3123287671232877,87.0,-19.33329963684082,138.33299255371094
87,CHRISTMAS_ISLAND,2019,105,105,210,0.00017310593258760396,0.00017321987706337867,0.5753424657534246,88.0,10.451,105.6889
88,COCOS_ISLAND,2019,104,105,209,0.00017145730465819821,0.00017321987706337867,0.5726027397260274,89.0,12.188,96.8293
